Name,Price,URL,Main Image URL,Local Main Image,Gallery Image URLs,Local Gallery Images,Detail Image URLs,Local Detail Images,Colors,Sizes,Tags
[글리머] 346 기모 맨투맨 (남녀공용),"₩16,000₩12,000",https://www.customzone.co.kr/상품/glimmer-afc346-fleece-mtm/,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머_기모맨투맨_상품목록B.gif,downloads/[글리머]_346_기모_맨투맨_(남녀공용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머-346-기모-맨투맨-남녀공용.jpg,downloads/[글리머]_346_기모_맨투맨_(남녀공용)/detail_1.jpg,"화이트, 블랙, 모쿠그레이, 네이비, 로얄블루, 라이트 핑크, 버건디","XS(SS), S, M, L, XL(LL), 2XL(3L) (+₩1000), 3XL(4L) (+₩2000), 4XL(5L) (+₩2000)","맨투맨, 글리머 glimmer"
[글리머] 347 기모 후드 (남녀공용),"₩21,000₩17,000",https://www.customzone.co.kr/상품/glimmer-afh347-fleece-hoodie/,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머_기모후드_상품목록B.jpg,downloads/[글리머]_347_기모_후드_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머-347-기모-후드-남녀공용.jpg,downloads/[글리머]_347_기모_후드_(남녀공용)/detail_1.jpg,"화이트, 모쿠그레이, 블랙, 로얄블루, 네이비, 라이트 핑크, 버건디","XS(SS), S, M, L, XL(LL), 2XL(3L) (+₩1000), 3XL(4L) (+₩2000), 4XL(5L) (+₩2000)","후드, 글리머 glimmer"
[글리머] 348 기모 후드집업 (남녀공용),"₩24,000₩19,000",https://www.customzone.co.kr/상품/glimmer-afz348-fleece-ziphoodie/,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머_기모후드집업_상품목록B.jpg,downloads/[글리머]_348_기모_후드집업_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/12/글리머-348-기모-후드집업-남녀공용.jpg,downloads/[글리머]_348_기모_후드집업_(남녀공용)/detail_1.jpg,"화이트, 블랙, 모쿠그레이, 네이비, 버건디","XS(SS), S, M, L, XL(LL), 2XL(3L) (+₩1000), 3XL(4L) (+₩2000), 4XL(5L) (+₩2000)","후드집업, 글리머 glimmer"
CZ 볼캡 모자,"₩9,000",https://www.customzone.co.kr/상품/cz-ballcap/,https://www.customzone.co.kr/wp-content/uploads/2018/10/볼캡_상품목록B.gif,downloads/CZ_볼캡_모자/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ-볼캡-모자.jpg,downloads/CZ_볼캡_모자/detail_1.jpg,"블랙, 화이트, 옐로우, 레드, 네이비, 아쿠아, 그린, 베이지, 핑크, 코발트",ONE SIZE,"모자, 모자"
광목 파우치,"₩3,000",https://www.customzone.co.kr/상품/cz-001p-pouch/,https://www.customzone.co.kr/wp-content/uploads/2018/10/광목파우치2.png,downloads/광목_파우치/main_image.png,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/광목-파우치.jpg,downloads/광목_파우치/detail_1.jpg,아이보리,ONE SIZE,"에코백/파우치, 파우치"
광목 주머니,"₩3,500",https://www.customzone.co.kr/상품/cz-007pc-canvas-pocket/,https://www.customzone.co.kr/wp-content/uploads/2018/11/pouch_01_thumbnail-600x839.jpg,downloads/광목_주머니/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/광목-주머니-1.jpg,downloads/광목_주머니/detail_1.jpg,아이보리,ONE SIZE,"인기상품, 에코백/파우치, 파우치"
스트라이프 에코백 Light Grey,"₩6,000",https://www.customzone.co.kr/상품/cz-5008a-stripe-lightgrey-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_08_thumbnail-600x839.jpg,downloads/스트라이프_에코백_Light_Grey/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/스트라이프-에코백-Light-Grey.jpg,downloads/스트라이프_에코백_Light_Grey/detail_1.jpg,연그레이,ONE SIZE,에코백
스트라이프 에코백 Navy,"₩6,000",https://www.customzone.co.kr/상품/cz-5011a-stripe-navy-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_10_thumbnail-600x839.jpg,downloads/스트라이프_에코백_Navy/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/스트라이프-에코백-Navy.jpg,downloads/스트라이프_에코백_Navy/detail_1.jpg,네이비,ONE SIZE,에코백
스트라이프 에코백 Brown,"₩6,000",https://www.customzone.co.kr/상품/cz-5010a-stripe-brown-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_07_thumbnail-600x839.jpg,downloads/스트라이프_에코백_Brown/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/스트라이프-에코백-Brown.jpg,downloads/스트라이프_에코백_Brown/detail_1.jpg,브라운,ONE SIZE,에코백
코튼 에코백 Charcoal,"₩8,000",https://www.customzone.co.kr/상품/cz-5012a-cotton-charcoal-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_11_thumbnail-600x839.jpg,downloads/코튼_에코백_Charcoal/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/코튼-에코백-Charcoal.jpg,downloads/코튼_에코백_Charcoal/detail_1.jpg,챠콜,ONE SIZE,에코백
데님 에코백,"₩8,000",https://www.customzone.co.kr/상품/cz-5001a-denim-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_15_thumbnail-600x839.jpg,downloads/데님_에코백/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/데님-에코백.jpg,downloads/데님_에코백/detail_1.jpg,데님,ONE SIZE,에코백
린넨 에코백 Sky Blue,"₩8,000",https://www.customzone.co.kr/상품/cz-5005a-linen-skyblue-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_04_thumbnail-600x839.jpg,downloads/린넨_에코백_Sky_Blue/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/린넨-에코백-Sky-Blue.jpg,downloads/린넨_에코백_Sky_Blue/detail_1.jpg,스카이블루,ONE SIZE,에코백
린넨 에코백 Khaki,"₩8,000",https://www.customzone.co.kr/상품/cz-5003a-linen-khaki-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_05_thumbnail-600x839.jpg,downloads/린넨_에코백_Khaki/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/린넨-에코백-Khaki.jpg,downloads/린넨_에코백_Khaki/detail_1.jpg,카키,ONE SIZE,에코백
린넨 에코백 Russet,"₩8,000",https://www.customzone.co.kr/상품/cz-5002a-linen-russet-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_03_thumbnail-600x839.jpg,downloads/린넨_에코백_Russet/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/린넨-에코백-Russet.jpg,downloads/린넨_에코백_Russet/detail_1.jpg,팥색,ONE SIZE,에코백
린넨 에코백 Blue,"₩8,000",https://www.customzone.co.kr/상품/cz-5006a-linen-blue-ecobag/,https://www.customzone.co.kr/wp-content/uploads/2018/11/canvas_06_thumbnail-600x839.jpg,downloads/린넨_에코백_Blue/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/린넨-에코백-Blue.jpg,downloads/린넨_에코백_Blue/detail_1.jpg,블루,ONE SIZE,에코백
CZ 스냅백,"₩8,000",https://www.customzone.co.kr/상품/cz-snapback/,https://www.customzone.co.kr/wp-content/uploads/2018/10/스냅백_상품목록B.gif,downloads/CZ_스냅백/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ-스냅백.jpg,downloads/CZ_스냅백/detail_1.jpg,"블랙, 화이트, 그레이, 챠콜, 네이비, 로얄블루, 진노랑, 레드, 와인, 브라운, 연핑크, 진핑크, 퍼플, 형광연두, 디지털카모",ONE SIZE,"모자, 모자"
[BASIC단체티] 2128 30수 브이넥 반팔 (남녀공용),"₩6,000",https://www.customzone.co.kr/상품/cz-at2128-30vneck-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_2128_브이넥_상품목록B.gif,downloads/[BASIC단체티]_2128_30수_브이넥_반팔_(남녀공용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-2128-30수-브이넥-반팔.jpg,downloads/[BASIC단체티]_2128_30수_브이넥_반팔_(남녀공용)/detail_1.jpg,"흰색, 연미, 멜란지, 검정, 연핑크, 체리, 빨강, 연두, 옥색, 소라, 물색, 연보라, 곤색","S, M, L, XL, 2XL","반팔티셔츠, Basic 단체티셔츠"
[길단] 76000B 24수 반팔 (아동용),"₩4,500",https://www.customzone.co.kr/상품/gildan-ts76000b-24round-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단_76000B아동반팔_상품목록B.jpg,downloads/[길단]_76000B_24수_반팔_(아동용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단-76000B-24수-반팔-아동용-1.jpg,downloads/[길단]_76000B_24수_반팔_(아동용)/detail_1.jpg,"라이트핑크, 아젤리아, 라임, 사파이어, 레드, 데이지, 화이트, 스포트그레이, 블랙","아동-XS, 아동-S, 아동-M, 아동-L, 아동-XL","아동/여성티셔츠, 길단 GILDAN"
[BASIC단체티] 2117 민소매 (남녀공용),"₩5,000",https://www.customzone.co.kr/상품/cz-at2117-tanktop/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_2117_민소매_상품목록B.gif,downloads/[BASIC단체티]_2117_민소매_(남녀공용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ-2117_민소매_제품컬러-2024.jpg,downloads/[BASIC단체티]_2117_민소매_(남녀공용)/detail_1.jpg,"검정, 흰색","M, L, XL, 2XL","민소매티셔츠, Basic 단체티셔츠"
[BASIC단체티] 3161 나그랑 7부 (남녀공용),"₩6,000",https://www.customzone.co.kr/상품/cz-at3161-7raglan-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_3161_나그랑7부_상품목록B.gif,downloads/[BASIC단체티]_3161_나그랑_7부_(남녀공용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-3161-나그랑-7부-남녀공용.jpg,downloads/[BASIC단체티]_3161_나그랑_7부_(남녀공용)/detail_1.jpg,"흰색/녹색, 흰색/검정, 흰색/곤색, 흰색/노랑, 흰색/보라, 흰색/빨강, 흰색/소라, 흰색/자주, 흰색/코발트, 흰색/핑크, 코발트/검정, 회색/검정","S, M, L, XL, 2XL, 3XL (+₩500)","긴팔티셔츠, Basic 단체티셔츠"
